work_year,experience_level,salary_in_usd,remote_ratio,company_size,job_title,employment_type,company_location,employee_residence,Cluster_Group
2023,EN,30000,100,L,Staff Data Scientist,FT,NG,NG,1
2022,MI,20984,50,L,Machine Learning Engineer,FT,IN,IN,1
2023,EN,204620,0,L,Applied Scientist,FT,US,US,0
2023,EN,110680,0,L,Applied Scientist,FT,US,US,0
2023,SE,270703,0,M,Data Engineer,FT,US,US,0
2023,SE,221484,0,M,Data Engineer,FT,US,US,0
2023,SE,212750,100,M,Data Scientist,FT,US,US,0
2023,SE,185000,100,M,Data Scientist,FT,US,US,0
2023,SE,262000,100,M,Data Scientist,FT,US,US,0
2023,SE,245000,100,M,Data Scientist,FT,US,US,0
2023,SE,275300,100,M,Data Scientist,FT,US,US,0
2023,SE,183500,100,M,Data Scientist,FT,US,US,0
2023,SE,218500,100,M,Data Scientist,FT,US,US,0
2023,SE,199098,100,M,Data Scientist,FT,US,US,0
2023,SE,203300,100,M,Data Engineer,FT,US,US,0
2023,SE,123600,100,M,Data Engineer,FT,US,US,0
2023,SE,189110,0,M,Research Engineer,FT,US,US,0
2023,SE,139000,0,M,Research Engineer,FT,US,US,0
2023,EX,258750,0,M,Data Scientist,FT,US,US,0
2023,EX,185000,0,M,Data Scientist,FT,US,US,0
2023,SE,231500,100,M,Data Engineer,FT,US,US,0
2023,SE,166000,100,M,Data Engineer,FT,US,US,0
2023,SE,172500,100,M,Data Scientist,FT,US,US,0
2023,SE,110500,100,M,Data Scientist,FT,US,US,0
2023,SE,238000,0,M,Data Engineer,FT,US,US,0
2023,SE,176000,0,M,Data Engineer,FT,US,US,0
2023,SE,237000,100,M,Data Engineer,FT,US,US,0
2023,SE,201450,100,M,Data Engineer,FT,US,US,0
2023,SE,309400,0,L,Applied Scientist,FT,US,US,0
2023,SE,159100,0,L,Applied Scientist,FT,US,US,0
2023,SE,115000,0,M,Data Engineer,FT,US,US,0
2023,SE,81500,0,M,Data Engineer,FT,US,US,0
2023,SE,237000,100,M,Data Scientist,FT,US,US,0
2023,SE,201450,100,M,Data Scientist,FT,US,US,0
2023,SE,280000,0,M,Data Analytics Manager,FT,US,US,0
2023,SE,210000,0,M,Data Analytics Manager,FT,US,US,0
2023,SE,280100,100,M,Data Architect,FT,US,US,0
2023,SE,168100,100,M,Data Architect,FT,US,US,0
2023,SE,193500,100,M,Data Engineer,FT,US,US,0
2023,SE,139000,100,M,Data Engineer,FT,US,US,0
2023,MI,65062,0,L,Data Scientist,FT,HK,HK,1
2023,SE,150000,100,M,Machine Learning Engineer,FT,US,PT,0
2023,MI,69751,100,S,Software Data Engineer,FT,DE,IN,1
2022,EN,300000,50,L,Machine Learning Infrastructure Engineer,FT,IN,IN,1
2023,MI,96578,100,L,Machine Learning Engineer,FT,NL,NL,1
2023,SE,185900,0,M,Machine Learning Research Engineer,FT,US,US,0
2023,SE,129300,0,M,Machine Learning Research Engineer,FT,US,US,0
2023,SE,225000,100,M,Data Engineer,FT,US,US,0
2023,SE,175000,100,M,Data Engineer,FT,US,US,0
2023,SE,185000,0,M,Data Engineer,FT,US,US,0
2023,SE,140000,0,M,Data Engineer,FT,US,US,0
2023,SE,48289,0,M,Data Scientist,FT,ES,ES,1
2023,SE,38631,0,M,Data Scientist,FT,ES,ES,1
2023,SE,105000,0,M,Data Scientist,FT,US,US,0
2023,SE,70000,0,M,Data Scientist,FT,US,US,0
2023,EN,163196,0,M,Machine Learning Engineer,FT,US,US,0
2023,EN,145885,0,M,Machine Learning Engineer,FT,US,US,0
2023,SE,217000,100,M,Data Engineer,FT,US,US,0
2023,SE,185000,100,M,Data Engineer,FT,US,US,0
2023,SE,202800,0,L,Data Analyst,FT,US,US,0
2023,SE,104300,0,L,Data Analyst,FT,US,US,0
2023,SE,145000,0,M,Data Analyst,FT,US,US,0
2023,SE,65000,0,M,Data Analyst,FT,US,US,0
2023,SE,165000,0,M,Data Engineer,FT,US,US,0
2023,SE,132300,0,M,Data Engineer,FT,US,US,0
2023,SE,179170,0,M,Data Engineer,FT,US,US,0
2023,SE,94300,0,M,Data Engineer,FT,US,US,0
2023,SE,152500,0,M,Analytics Engineer,FT,US,US,0
2023,SE,116450,0,M,Analytics Engineer,FT,US,US,0
2023,SE,247300,0,M,Data Engineer,FT,US,US,0
2023,SE,133800,0,M,Data Engineer,FT,US,US,0
2023,SE,203000,0,M,Research Engineer,FT,US,US,0
2023,SE,133000,0,M,Research Engineer,FT,US,US,0
2023,EN,220000,50,L,Research Scientist,FT,US,US,0
2022,EN,56536,100,S,Machine Learning Engineer,FT,CH,CH,1
2023,SE,120000,0,M,Data Scientist,FT,US,US,0
2023,SE,289800,0,M,Analytics Engineer,FT,US,US,0
2023,SE,214000,0,M,Analytics Engineer,FT,US,US,0
2023,SE,179820,0,M,Analytics Engineer,FT,US,US,0
2023,SE,143860,0,M,Analytics Engineer,FT,US,US,0
2023,SE,283200,100,M,Machine Learning Engineer,FT,US,US,0
2023,SE,188800,100,M,Machine Learning Engineer,FT,US,US,0
2023,SE,214200,0,M,Analytics Engineer,FT,US,US,0
2023,SE,185900,0,M,Data Engineer,FT,US,US,0
2023,SE,129300,0,M,Data Engineer,FT,US,US,0
2023,SE,252000,0,M,Data Engineer,FT,US,US,0
2023,SE,129000,0,M,Data Engineer,FT,US,US,0
2023,MI,155000,0,M,Data Analytics Manager,FT,US,US,0
2023,MI,140000,0,M,Data Analytics Manager,FT,US,US,0
2023,SE,161800,100,M,Data Engineer,FT,US,US,0
2023,SE,141600,100,M,Data Engineer,FT,US,US,0
2023,SE,342300,0,L,Machine Learning Engineer,FT,US,US,0
2023,SE,176100,0,L,Machine Learning Engineer,FT,US,US,0
2023,MI,100000,100,M,Data Engineer,FT,US,US,0
2023,MI,70000,100,M,Data Engineer,FT,US,US,0
2023,EN,85000,0,M,Data Engineer,FT,US,US,0
2023,EN,65000,0,M,Data Engineer,FT,US,US,0
2023,SE,138784,100,M,Data Scientist,FT,US,US,0
2023,SE,83270,100,M,Data Scientist,FT,US,US,0
2023,EN,75000,0,M,Data Analyst,FT,US,US,0
2023,EN,70000,0,M,Data Analyst,FT,US,US,0
2023,SE,204500,0,M,Data Analyst,FT,US,US,0
2023,SE,138900,0,M,Data Analyst,FT,US,US,0
2023,SE,318300,100,M,Machine Learning Engineer,FT,US,US,0
2023,SE,212200,100,M,Machine Learning Engineer,FT,US,US,0
2023,SE,95000,100,M,Data Engineer,FT,US,US,0
2023,SE,75000,100,M,Data Engineer,FT,US,US,0
2023,SE,195000,0,M,Data Scientist,FT,US,US,0
2023,SE,160000,0,M,Data Scientist,FT,US,US,0
2023,SE,230000,0,M,Analytics Engineer,FT,US,US,0
2023,SE,143200,0,M,Analytics Engineer,FT,US,US,0
2023,MI,105000,50,L,Business Data Analyst,FT,US,US,0
2023,MI,20670,100,L,Machine Learning Software Engineer,FT,IN,IN,1
2023,MI,46178,0,M,Data Analyst,FT,GB,GB,1
2023,MI,42533,0,M,Data Analyst,FT,GB,GB,1
2023,SE,145000,0,M,Data Engineer,FT,US,US,0
2023,SE,168400,0,M,Data Analyst,FT,US,US,0
2023,SE,105200,0,M,Data Analyst,FT,US,US,0
2023,SE,190000,0,M,Machine Learning Engineer,FT,US,US,0
2023,SE,150000,0,M,Machine Learning Engineer,FT,US,US,0
2023,SE,150000,100,M,Analytics Engineer,FT,US,US,0
2023,SE,120000,100,M,Analytics Engineer,FT,US,US,0
2023,SE,120000,0,M,Data Engineer,FT,US,US,0
2023,SE,54685,100,M,Data Analyst,FT,CF,CF,1
2023,SE,42533,100,M,Data Analyst,FT,CF,CF,1
2023,SE,241000,0,M,Data Engineer,FT,US,US,0
2023,SE,155000,0,M,Data Engineer,FT,US,US,0
2023,SE,220000,100,M,Data Engineer,FT,US,US,0
2023,SE,190000,100,M,Data Engineer,FT,US,US,0
2023,MI,66837,0,M,Data Scientist,FT,GB,GB,1
2023,MI,54685,0,M,Data Scientist,FT,GB,GB,1
2020,EX,15000,0,M,Staff Data Scientist,FT,CA,NG,1
2023,MI,85066,100,M,Software Data Engineer,FT,GB,GB,1
2023,MI,57723,100,M,Software Data Engineer,FT,GB,GB,1
2023,EN,85000,100,M,Data Analyst,FT,US,US,0
2023,EN,75000,100,M,Data Analyst,FT,US,US,0
2023,SE,160000,0,M,Data Engineer,FT,US,US,0
2023,MI,300000,0,M,Machine Learning Engineer,FT,US,US,0
2023,MI,250000,0,M,Machine Learning Engineer,FT,US,US,0
2023,SE,228000,0,M,Data Scientist,FT,US,US,0
2023,SE,186000,0,M,Data Scientist,FT,US,US,0
2023,SE,190000,0,M,Data Scientist,FT,US,US,0
2023,MI,230000,0,M,Research Engineer,FT,US,US,0
2023,MI,200000,0,M,Research Engineer,FT,US,US,0
2023,SE,180000,100,M,Data Architect,FT,US,US,0
2023,SE,115000,100,M,Data Architect,FT,US,US,0
2023,SE,200000,100,M,Data Architect,FT,US,US,0
2023,SE,53654,50,S,Staff Data Scientist,FT,FR,FR,1
2023,EX,220000,0,M,Data Engineer,FT,US,US,0
2023,EX,205000,0,M,Data Engineer,FT,US,US,0
2023,MI,180000,0,M,Data Engineer,FT,US,US,0
2023,SE,200000,100,M,Data Engineer,FT,US,US,0
2023,SE,150000,100,M,Data Engineer,FT,US,US,0
2023,SE,215000,0,M,Data Analytics Manager,FT,US,US,0
2023,SE,170000,0,M,Data Analytics Manager,FT,US,US,0
2023,SE,247500,0,M,Machine Learning Engineer,FT,US,US,0
2023,SE,172200,0,M,Machine Learning Engineer,FT,US,US,0
2023,SE,224000,0,M,Data Scientist,FT,CA,CA,0
2023,SE,176000,0,M,Data Scientist,FT,CA,CA,1
2023,SE,120000,100,M,Data Analyst,FT,US,US,0
2023,SE,75000,100,M,Data Analyst,FT,US,US,0
2023,EN,17022,100,L,Data Engineer,FT,IN,IN,1
2023,SE,68318,100,M,Machine Learning Software Engineer,FT,FI,AU,1
2023,MI,75020,0,M,Machine Learning Infrastructure Engineer,FT,FI,FI,1
2023,SE,140000,0,M,Data Analyst,FT,US,US,0
2023,SE,120000,0,M,Data Analyst,FT,US,US,0
2023,SE,128000,0,M,Data Engineer,FT,US,US,0
2023,EX,329500,0,M,Machine Learning Software Engineer,FT,US,US,0
2023,EX,269600,0,M,Machine Learning Software Engineer,FT,US,US,0
2023,SE,100000,0,M,Product Data Analyst,FT,US,US,0
2023,SE,80000,0,M,Product Data Analyst,FT,US,US,0
2023,SE,250000,0,M,Data Scientist,FT,US,US,0
2023,SE,162500,0,M,Data Scientist,FT,US,US,0
2023,MI,200000,100,M,Machine Learning Infrastructure Engineer,FT,US,US,0
2023,SE,100000,0,M,Data Engineer,FT,US,US,0
2023,EX,145000,0,M,Data Engineer,FT,US,US,0
2023,EX,115000,0,M,Data Engineer,FT,US,US,0
2023,SE,203500,0,M,Data Scientist,FT,US,US,0
2023,SE,152000,0,M,Data Scientist,FT,US,US,0
2023,SE,239000,0,L,Data Scientist,FT,US,US,0
2023,SE,122900,0,L,Data Scientist,FT,US,US,0
2023,SE,237000,0,M,Data Scientist,FT,US,US,0
2023,SE,145000,0,M,Data Scientist,FT,US,US,0
2023,SE,191765,0,M,Data Science Manager,FT,US,US,0
2023,SE,134236,0,M,Data Science Manager,FT,US,US,0
2023,SE,190000,100,M,Analytics Engineer,FT,US,US,0
2023,SE,112000,100,M,Analytics Engineer,FT,US,US,0
2022,SE,88256,100,L,Data Scientist,FT,GB,ES,1
2023,SE,135000,0,M,Data Analyst,FT,US,US,0
2023,SE,105500,0,M,Data Analyst,FT,US,US,0
2023,SE,293000,0,M,Research Engineer,FT,US,US,0
2023,SE,185000,0,M,Research Engineer,FT,US,US,0
2023,SE,80000,0,M,Data Analyst,FT,US,US,0
2023,SE,70000,0,M,Data Analyst,FT,US,US,0
2023,SE,160000,100,M,Data Engineer,FT,US,US,0
2023,SE,175000,100,M,Data Scientist,FT,US,US,0
2023,SE,145000,100,M,Data Scientist,FT,US,US,0
2023,SE,200000,0,M,Data Analyst,FT,US,US,0
2023,SE,148500,0,M,Data Analyst,FT,US,US,0
2023,SE,240500,0,L,Data Engineer,FT,US,US,0
2023,SE,123700,0,L,Data Engineer,FT,US,US,0
2023,SE,152900,100,M,Analytics Engineer,FT,US,US,0
2023,SE,117100,100,M,Analytics Engineer,FT,US,US,0
2023,SE,173000,100,M,Analytics Engineer,FT,US,US,0
2023,SE,113000,100,M,Analytics Engineer,FT,US,US,0
2023,SE,260000,0,L,Applied Scientist,FT,US,US,0
2023,EX,175000,0,M,Data Engineer,FT,US,US,0
2023,EX,110000,0,M,Data Engineer,FT,US,US,0
2023,SE,130000,100,M,Research Scientist,FT,US,US,0
2023,SE,110000,100,M,Research Scientist,FT,US,US,0
2023,SE,205000,100,M,Applied Scientist,FT,US,US,0
2023,SE,184000,100,M,Applied Scientist,FT,US,US,0
2023,SE,149500,100,M,Data Analyst,FT,US,US,0
2023,SE,127075,100,M,Data Analyst,FT,US,US,0
2023,SE,219535,100,M,Data Engineer,FT,US,US,0
2023,SE,146115,100,M,Data Engineer,FT,US,US,0
2023,SE,135000,0,M,Data Scientist,FT,US,US,0
2023,SE,199000,0,M,Data Scientist,FT,US,US,0
2023,SE,162000,0,M,Data Scientist,FT,US,US,0
2023,EX,221000,100,M,Analytics Engineer,FT,US,US,0
2023,EX,153000,100,M,Analytics Engineer,FT,US,US,0
2023,SE,187000,0,M,Data Analyst,FT,US,US,0
2023,SE,128000,0,M,Data Analyst,FT,US,US,0
2023,SE,210000,0,M,Research Scientist,FT,US,US,0
2023,SE,136000,0,M,Research Scientist,FT,US,US,0
2023,SE,100000,100,M,Data Scientist,FT,US,US,0
2023,SE,179000,0,M,Data Engineer,FT,US,US,0
2023,SE,109000,0,M,Data Engineer,FT,US,US,0
2023,SE,245000,0,M,Data Scientist,FT,US,US,0
2023,SE,180000,0,M,Data Scientist,FT,US,US,0
2023,SE,142000,100,M,Data Analyst,FT,US,US,0
2023,SE,198800,0,M,Data Science Consultant,FT,US,US,0
2023,SE,105200,0,M,Data Science Consultant,FT,US,US,0
2023,SE,125000,100,M,Data Analyst,FT,US,US,0
2023,SE,112000,100,M,Data Analyst,FT,US,US,0
2023,SE,210000,0,M,Data Scientist,FT,US,US,0
2023,SE,155000,0,M,Data Scientist,FT,US,US,0
2023,SE,115000,100,M,Data Science Consultant,FT,US,US,0
2023,SE,86000,100,M,Data Science Consultant,FT,US,US,0
2023,SE,165000,0,M,Data Scientist,FT,US,US,0
2023,SE,140000,0,M,Data Scientist,FT,US,US,0
2023,SE,139000,0,M,Data Analyst,FT,US,US,0
2023,SE,106000,0,M,Data Analyst,FT,US,US,0
2023,EN,40663,0,L,Data Analyst,FT,CA,CA,1
2022,SE,275000,0,S,Machine Learning Infrastructure Engineer,FT,CA,CA,0
2023,SE,50000,50,S,Product Data Analyst,FL,UA,UA,2
2023,MI,280700,100,M,Machine Learning Engineer,FT,US,US,0
2023,MI,150450,100,M,Machine Learning Engineer,FT,US,US,0
2023,EN,51753,100,L,Data Scientist,FT,CA,CA,1
2023,SE,250500,0,M,Data Architect,FT,US,US,0
2023,SE,159500,0,M,Data Architect,FT,US,US,0
2023,EN,130001,100,M,Data Scientist,FT,US,US,0
2023,EN,71907,100,M,Data Scientist,FT,US,US,0
2023,MI,93918,100,M,Data Scientist,FT,US,US,0
2023,MI,51962,100,M,Data Scientist,FT,US,US,0
2023,SE,175000,100,M,Data Analyst,FT,CA,CA,1
2023,SE,135000,100,M,Data Analyst,FT,CA,CA,1
2023,SE,257000,0,M,Machine Learning Engineer,FT,US,US,0
2023,SE,147000,0,M,Machine Learning Engineer,FT,US,US,0
2023,SE,222000,100,M,Data Engineer,FT,US,US,0
2023,SE,203000,100,M,Data Scientist,FT,US,US,0
2023,SE,133200,100,M,Data Scientist,FT,US,US,0
2023,SE,221000,0,M,Data Engineer,FT,US,US,0
2023,SE,147000,0,M,Data Engineer,FT,US,US,0
2023,SE,185900,0,M,Data Scientist,FT,US,US,0
2023,SE,129300,0,M,Data Scientist,FT,US,US,0
2023,SE,238000,100,M,Data Scientist,FT,US,US,0
2023,SE,156000,100,M,Data Scientist,FT,US,US,0
2023,SE,304000,100,M,Machine Learning Engineer,FT,US,US,0
2023,SE,199000,100,M,Machine Learning Engineer,FT,US,US,0
2023,MI,48289,100,M,Machine Learning Infrastructure Engineer,FT,ES,ES,1
2023,SE,150000,0,M,Data Engineer,FT,US,US,0
2023,SE,130000,0,M,Data Engineer,FT,US,US,0
2023,SE,140000,100,M,Data Scientist,FT,US,US,0
2023,SE,110000,100,M,Data Scientist,FT,US,US,0
2023,MI,90000,0,M,Data Analyst,FT,US,US,0
2023,MI,75000,0,M,Data Analyst,FT,US,US,0
2023,MI,195895,0,M,Research Scientist,FT,GB,GB,1
2023,MI,102772,0,M,Research Scientist,FT,GB,GB,1
2023,SE,240000,0,M,Data Engineer,FT,US,US,0
2023,SE,183600,0,M,Data Engineer,FT,US,US,0
2023,MI,130000,0,M,Data Specialist,FT,US,US,0
2023,MI,80000,0,M,Data Specialist,FT,US,US,0
2023,SE,250000,0,M,Data Engineer,FT,US,US,0
2023,SE,160000,100,M,Data Analytics Manager,FT,US,US,0
2023,SE,120000,100,M,Data Analytics Manager,FT,US,US,0
2023,SE,289076,0,M,Machine Learning Engineer,FT,US,US,0
2023,SE,202353,0,M,Machine Learning Engineer,FT,US,US,0
2023,SE,155000,0,M,Data Analyst,FT,US,US,0
2023,SE,200000,0,M,Data Engineer,FT,US,US,0
2023,SE,157750,100,M,Data Scientist,FT,US,US,0
2023,SE,104650,100,M,Data Scientist,FT,US,US,0
2023,MI,180000,100,M,Data Scientist,FT,US,US,0
2023,MI,140000,100,M,Data Scientist,FT,US,US,0
2023,EX,200000,0,M,Data Scientist,FT,US,US,0
2023,EX,145000,0,M,Data Scientist,FT,US,US,0
2023,MI,68000,0,L,Product Data Analyst,FT,US,US,0
2023,EN,60000,100,M,Staff Data Scientist,FT,US,US,0
2023,MI,125000,0,M,Data Engineer,FT,US,US,0
2023,MI,90000,0,M,Data Engineer,FT,US,US,0
2023,SE,105000,100,M,Data Analyst,FT,US,US,0
2023,SE,90000,100,M,Data Analyst,FT,US,US,0
2023,EN,155000,0,M,Research Engineer,FT,US,US,0
2023,EN,125000,0,M,Research Engineer,FT,US,US,0
2023,SE,241000,0,M,Machine Learning Engineer,FT,US,US,0
2023,SE,181000,0,M,Machine Learning Engineer,FT,US,US,0
2023,SE,252000,0,M,Data Scientist,FT,US,US,0
2023,SE,154000,0,M,Data Scientist,FT,US,US,0
2023,EX,180000,0,M,Data Architect,FT,US,US,0
2023,EX,155000,0,M,Data Architect,FT,US,US,0
2023,SE,191765,0,M,Data Scientist,FT,US,US,0
2023,SE,134236,0,M,Data Scientist,FT,US,US,0
2023,SE,146000,0,M,Data Engineer,FT,US,US,0
2023,SE,75000,0,M,Data Engineer,FT,US,US,0
2023,EN,64200,100,M,Data Analyst,FT,US,US,0
2023,EN,56100,100,M,Data Analyst,FT,US,US,0
2023,SE,170000,0,M,Machine Learning Engineer,FT,US,US,0
2023,SE,208450,100,M,Data Analyst,FT,US,US,0
2023,SE,170550,100,M,Data Analyst,FT,US,US,0
2023,SE,125000,0,M,Machine Learning Engineer,FT,US,US,0
2023,SE,100000,0,M,Machine Learning Engineer,FT,US,US,0
2023,MI,135000,0,M,Data Science Consultant,FT,US,US,0
2023,MI,120000,0,M,Data Science Consultant,FT,US,US,0
2023,SE,200000,100,M,Data Scientist,FT,US,US,0
2023,SE,170000,100,M,Data Scientist,FT,US,US,0
2023,SE,171250,0,M,Data Scientist,FT,IE,IE,1
2023,SE,113750,0,M,Data Scientist,FT,IE,IE,1
2023,SE,153600,0,M,Data Analyst,FT,US,US,0
2023,SE,100500,0,M,Data Analyst,FT,US,US,0
2023,SE,115000,100,M,Machine Learning Engineer,FT,CA,CA,1
2023,SE,95000,100,M,Machine Learning Engineer,FT,CA,CA,1
2023,MI,182500,0,M,Data Analyst,FT,US,US,0
2023,MI,121500,0,M,Data Analyst,FT,US,US,0
2023,SE,203100,0,M,Data Engineer,FT,US,US,0
2023,SE,114500,0,M,Data Engineer,FT,US,US,0
2023,MI,72914,0,M,Data Analyst,FT,GB,GB,1
2023,MI,54685,0,M,Data Analyst,FT,GB,GB,1
2023,EN,92700,100,M,Data Engineer,FT,US,US,0
2023,EN,61800,100,M,Data Engineer,FT,US,US,0
2023,SE,130000,100,M,Data Engineer,FT,US,US,0
2023,SE,258000,0,M,Data Scientist,FT,CA,CA,0
2023,SE,190000,0,M,Data Scientist,FT,CA,CA,1
2023,MI,167500,0,M,Data Architect,FT,US,US,0
2023,MI,106500,0,M,Data Architect,FT,US,US,0
2023,MI,146000,0,M,Data Engineer,FT,US,US,0
2023,MI,75000,0,M,Data Engineer,FT,US,US,0
2022,EN,59888,100,L,Data Engineer,FT,NL,NL,1
2023,EX,286000,100,M,Data Engineer,FT,US,US,0
2023,EX,207000,100,M,Data Engineer,FT,US,US,0
2023,SE,80000,100,M,Data Analyst,FT,US,US,0
2023,SE,223250,0,M,Data Engineer,FT,US,US,0
2023,SE,178600,0,M,Data Engineer,FT,US,US,0
2023,EX,353200,0,M,Machine Learning Infrastructure Engineer,FT,US,US,0
2023,EX,249300,0,M,Machine Learning Infrastructure Engineer,FT,US,US,0
2023,MI,230000,0,M,Machine Learning Scientist,FT,US,US,0
2023,MI,220000,0,M,Machine Learning Scientist,FT,US,US,0
2023,SE,297300,100,M,Data Scientist,FT,US,US,0
2023,SE,198200,100,M,Data Scientist,FT,US,US,0
2023,MI,210000,100,M,Research Scientist,FT,US,US,0
2023,MI,151800,100,M,Research Scientist,FT,US,US,0
2023,SE,317070,0,M,Data Scientist,FT,US,US,0
2023,SE,170730,0,M,Data Scientist,FT,US,US,0
2023,EN,21461,0,M,Business Data Analyst,FT,ES,ES,1
2023,SE,108000,0,M,Machine Learning Infrastructure Engineer,FT,UA,UA,1
2023,SE,60000,0,M,Machine Learning Infrastructure Engineer,FT,UA,UA,1
2023,MI,134000,100,M,Machine Learning Research Engineer,FT,US,US,0
2023,MI,124000,100,M,Machine Learning Research Engineer,FT,US,US,0
2023,SE,171250,0,M,Data Engineer,FT,US,US,0
2023,SE,113750,0,M,Data Engineer,FT,US,US,0
2023,SE,225000,0,M,Data Scientist,FT,US,US,0
2023,SE,175000,0,M,Data Scientist,FT,US,US,0
2023,SE,230000,0,M,Data Engineer,FT,US,US,0
2023,SE,124500,0,M,Data Engineer,FT,US,US,0
2023,SE,175000,0,M,Data Analyst,FT,US,US,0
2023,SE,148700,0,M,Data Analyst,FT,US,US,0
2023,SE,125600,0,M,Data Analyst,FT,US,US,0
2023,SE,200000,0,M,Research Scientist,FT,US,US,0
2023,SE,150000,0,M,Research Scientist,FT,US,US,0
2023,EN,160000,0,M,Research Engineer,FT,US,US,0
2023,EN,120000,0,M,Research Engineer,FT,US,US,0
2023,SE,185000,100,M,Data Analyst,FT,US,US,0
2023,SE,120250,100,M,Data Analyst,FT,US,US,0
2023,SE,183000,100,M,Data Scientist,FT,US,US,0
2023,SE,170000,100,M,Data Architect,FT,US,US,0
2023,SE,125000,100,M,Data Architect,FT,US,US,0
2023,SE,250000,0,M,Research Scientist,FT,US,US,0
2023,MI,135000,50,L,Machine Learning Engineer,FT,US,US,0
2023,SE,423834,0,L,AI Scientist,FT,IL,IL,0
2023,SE,216000,100,M,Machine Learning Engineer,FT,US,US,0
2023,SE,184000,100,M,Machine Learning Engineer,FT,US,US,0
2023,SE,180000,100,M,Data Engineer,FT,US,US,0
2023,SE,165000,100,M,Data Engineer,FT,US,US,0
2023,MI,143865,0,M,Data Engineer,FT,US,US,0
2023,MI,115092,0,M,Data Engineer,FT,US,US,0
2023,MI,130000,0,M,Machine Learning Engineer,FT,US,US,0
2023,MI,90000,0,M,Machine Learning Engineer,FT,US,US,0
2023,SE,173000,100,M,Data Scientist,FT,US,US,0
2023,SE,132000,100,M,Data Scientist,FT,US,US,0
2023,SE,208049,0,M,Data Analyst,FT,US,US,0
2023,SE,128500,0,M,Data Analyst,FT,US,US,0
2023,SE,167500,0,M,Data Engineer,FT,US,US,0
2023,SE,106500,0,M,Data Engineer,FT,US,US,0
2023,MI,149600,0,M,Data Engineer,FT,US,US,0
2023,MI,102000,0,M,Data Engineer,FT,US,US,0
2023,EX,100000,0,M,Data Scientist,FT,US,US,0
2023,SE,190000,100,M,Data Analyst,FT,US,US,0
2023,SE,95000,100,M,Data Analyst,FT,US,US,0
2023,SE,106800,0,M,Data Analyst,FT,US,US,0
2023,MI,96578,0,M,Data Scientist,FT,IE,IE,1
2023,MI,80481,0,M,Data Scientist,FT,IE,IE,1
2023,MI,128000,0,M,Data Analyst,FT,US,US,0
2023,MI,85000,0,M,Data Analyst,FT,US,US,0
2023,MI,151000,0,M,Data Engineer,FT,US,US,0
2023,MI,140000,0,M,Data Engineer,FT,US,US,0
2023,SE,220000,0,M,Machine Learning Scientist,FT,US,US,0
2023,SE,170000,0,M,Machine Learning Scientist,FT,US,US,0
2023,EN,7000,0,S,Software Data Engineer,FT,GH,GH,1
2023,EN,42923,50,M,Data Specialist,FT,DE,DE,1
